term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
drink,0.042160747157004894,0.06652675241214191,0.6337412488710341,0.5265789955325527,479,0.19919200371658619,A,3,female
factor(occ_f)2,-0.14717523350764544,0.07133648128712348,-2.0631131624684036,0.03968800419355783,479,0.19919200371658619,A,3,female
factor(occ_f)3,0.08097832544693054,0.1439891940660502,0.5623916848217405,0.5741355834022526,479,0.19919200371658619,A,3,female
factor(occ_f)4,-0.23181468054321808,0.09662351985461592,-2.399153755648902,0.016848108583047323,479,0.19919200371658619,A,3,female
factor(occ_f)6,-0.18425807068497876,0.15509484657983008,-1.188034771936396,0.2354605919051049,479,0.19919200371658619,A,3,female
factor(occ_f)7,-0.30764741893979186,0.11971726110760461,-2.569783305210026,0.010504434787408923,479,0.19919200371658619,A,3,female
factor(occ_f)8,0.49337163280551,0.1936246190068887,2.5480831690517465,0.011170567156498336,479,0.19919200371658619,A,3,female
factor(occ_f)11,-0.4941006311512339,0.10169186653305545,-4.858801868786862,1.6451540265387414e-6,479,0.19919200371658619,A,3,female
factor(occ_f)12,-0.40486980217015156,0.39936011191261367,-1.0137962958572675,0.31123711067236276,479,0.19919200371658619,A,3,female
factor(occ_f)13,0.13981132989451314,0.29929252287462327,0.4671394011172192,0.6406313871096327,479,0.19919200371658619,A,3,female
factor(wu_f)2,0.24632672945721387,0.12966359585444925,1.8997369912039306,0.05812122112324765,479,0.19919200371658619,A,3,female
factor(wu_f)3,0.12881886131089917,0.13882654928477856,0.9279122903692554,0.3539617937944399,479,0.19919200371658619,A,3,female
factor(wu_f)4,-0.1306728565432187,0.1654580715427903,-0.7897641700086203,0.43009090180466636,479,0.19919200371658619,A,3,female
factor(wu_f)5,-0.09674795444277397,0.15861255995767673,-0.6099640184143654,0.5422005209592451,479,0.19919200371658619,A,3,female
factor(wu_f)7,0.1003626054287579,0.14388987070835646,0.6974959733765979,0.4858608461221824,479,0.19919200371658619,A,3,female
factor(wu_f)8,0.23733035667371802,0.16145540865199165,1.4699436745737684,0.1422916821724131,479,0.19919200371658619,A,3,female
factor(wu_f)9,0.11015680637975381,0.2524404177706493,0.43636754903422403,0.6627841148214004,479,0.19919200371658619,A,3,female
(Intercept),3.832728915901675,0.8142176476391546,4.707253554396386,3.3962119206593286e-6,471,0.19745087475071743,A,4,female
height,0.013648359310027782,0.0048611282935542765,2.8076525624977093,0.005218577276757537,471,0.19745087475071743,A,4,female
bmi_under,0.030442859957844435,0.0608563158613456,0.5002415858890494,0.6171620864280469,471,0.19745087475071743,A,4,female
bmi_over,-0.11597851534013329,0.06315907100587526,-1.8362922933009036,0.06700784819239643,471,0.19745087475071743,A,4,female
edu_years,0.02337413957825603,0.011819427354311005,1.977603387843538,0.04861455609819599,471,0.19745087475071743,A,4,female
hlth_exc,0.21793806905520471,0.12549687831936543,1.7366015153029881,0.08317705003408665,471,0.19745087475071743,A,4,female
hlth_good,0.21003876505607508,0.11603742818507888,1.8100949697115376,0.07098228415472622,471,0.19745087475071743,A,4,female
hlth_fair,0.1861645532735808,0.1305066844504373,1.4264752342572977,0.15446023419243343,471,0.19745087475071743,A,4,female
married,-0.04101844955506514,0.08585001954536418,-0.4777919652469094,0.6330422011145147,471,0.19745087475071743,A,4,female
divorced,-0.04360160654050554,0.14509844166004585,-0.3004967251313467,0.7639442013392717,471,0.19745087475071743,A,4,female
widowed,-0.09616392000476388,0.19238030076188664,-0.4998636535233828,0.6174279698498322,471,0.19745087475071743,A,4,female
separated,0.20820278255676372,0.27504446718629116,0.7569786248990251,0.44947917307184115,471,0.19745087475071743,A,4,female
province_f23,-0.054142566055746424,0.1016879911543238,-0.5324381516552781,0.5946988646687389,471,0.19745087475071743,A,4,female
province_f32,0.1680423374945161,0.09445126042934016,1.7791434093167036,0.0759258516695689,471,0.19745087475071743,A,4,female
province_f37,0.05800555111969708,0.13825852982254783,0.41954410475900544,0.6750290319000215,471,0.19745087475071743,A,4,female
province_f41,-0.059899408203454,0.12577968359611552,-0.4762248281351527,0.634157219503857,471,0.19745087475071743,A,4,female
province_f42,-0.01784008300459188,0.09738132749777044,-0.18319819069010257,0.8547292652162556,471,0.19745087475071743,A,4,female
province_f43,0.11423298680257708,0.117433416275393,0.9727468588215931,0.3312285569883683,471,0.19745087475071743,A,4,female
province_f45,0.06022563436401842,0.09715859149340049,0.6198693644926836,0.5356736599839262,471,0.19745087475071743,A,4,female
province_f52,0.040233007378156535,0.1114799167622091,0.3608991515841824,0.7183529000764358,471,0.19745087475071743,A,4,female
age,0.007449506845222667,0.004369306009492541,1.7049634035790195,0.08892689568060043,471,0.19745087475071743,A,4,female
smoke,0.0163492761042948,0.27024678219262055,0.06049757918168929,0.9517875821573396,471,0.19745087475071743,A,4,female
drink,0.035119896172084386,0.06797812282066217,0.516635274921266,0.6056776245992959,471,0.19745087475071743,A,4,female
factor(occ_f)2,-0.14915910657182124,0.07118538399287774,-2.095361409959451,0.036725914046248205,471,0.19745087475071743,A,4,female
factor(occ_f)3,0.08361730385398752,0.1431331019496266,0.5841926340939309,0.55939849167834,471,0.19745087475071743,A,4,female
